Month,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
April-17,7648.0,REAL ESTATE AGENT 3,1.0,71300.0
April 2017,,,,
April 2017,,,,
April-17,3651.0,BUSINESS DEV SPEC-18,1.0,88661.0
April-17,1713.0,HSG REHAB SPEC,1.0,79143.0
April-17,1562.0,ACCT CLK 3,1.0,57097.0
April-17,2913.0,CERT MUNI CLK,1.0,52508.0
April-17,3548.0,ASSESS SERVS SUPV,1.0,79856.0
April-17,2180.0,PROPERTY APPRAISER 4,1.0,86289.0
April-17,2439.0,CERT MUNI CLK,1.0,52508.0
April-17,2579.0,PROPERTY APPRAISER 3,1.0,80617.0
April-17,6756.0,MUNI CLK 2-20,1.0,48268.0
April 2017,,,,
April-17,9593.0,PROP LISTER 1-20,1.0,42929.0
April-17,2315.0,CITY ASSESSOR,1.0,121551.0
April-17,3220.0,PROGRAM ASST 1,1.0,52508.0
April-17,2645.0,FIN OPER LDWKR,1.0,58612.0
April-17,1154.0,PROPERTY APPRAISER 2,1.0,75624.0
April-17,3550.0,ASSESS TECH 2-16,1.0,58835.0
April-17,1753.0,PROPERTY APPRAISER 3,1.0,82836.0
April-17,6275.0,ASST CITY ASSES,1.0,90036.0
April-17,1815.0,PROPERTY APPRAISER 4,1.0,85519.0
April-17,4143.0,PROPERTY APPRAISER 2,1.0,75624.0
April-17,7879.0,ADMIN CLK 1,1.0,45543.0
April-17,9231.0,PROPERTY APPRAISER 1-16,1.0,53820.0
April-17,1523.0,PROPERTY APPRAISER 2,1.0,63129.0
April-17,3258.0,CERT MUNI CLK,1.0,54038.0
April-17,3025.0,ADMIN CLK 1,1.0,54060.0
April-17,2832.0,PROPERTY APPRAISER 2,1.0,72217.0
April-17,7161.0,MUNI CLK 2-20,1.0,48268.0
April-17,2222.0,ASSESS TECH 2,1.0,55683.0
April-17,3433.0,PROPERTY APPRAISER 2,1.0,74261.0
April-17,1931.0,ASSESS TECH 2-16,1.0,51169.0
April-17,1553.0,ADMIN CLK 1,1.0,52612.0
April-17,2825.0,ACCT CLK 3,1.0,57097.0
April-17,1780.0,PROP LISTER 3,1.0,57049.0
April-17,3930.0,MEDIA TEAM LDWKR,1.0,68811.0
April-17,5018.0,PROGRAM ASST 1-20 PT,1.0,48268.0
April-17,2144.0,DOC SERVS SPEC 2,1.0,55065.0
April-17,1247.0,ADMIN SUPPORT CLK 2,1.0,54060.0
April-17,2992.0,COMP OFF ADMIN SERVS SUPV-18,1.0,73049.0
April-17,2824.0,DOC SERVS LDWKR,1.0,60698.0
April-17,9186.0,BUYER 2,1.0,58908.0
April-17,2142.0,ACCT SERVICES MGR,1.0,117270.0
April-17,1952.0,ACCT CLERK 3,1.0,55567.0
April-17,3333.0,ADMIN ANAL 4,1.0,91243.0
April-17,9151.0,PROGRAM ASST 1,1.0,46665.0
April-17,3407.0,ACCT. CLERK 3,1.0,55567.0
April-17,2693.0,FINANCE DIR,1.0,159276.0
April 2017,,,,
April-17,2352.0,ACCT. TECH 2,1.0,56692.0
April-17,2854.0,ACCOUNTANT 4,1.0,67179.0
April-17,8181.0,ADMIN ANAL 1-18,1.0,62507.0
April-17,2847.0,ACCOUNTANT 4-18,1.0,103801.0
April-17,2288.0,RISK MANAGER,1.0,103830.0
April-17,3406.0,ADMIN SUPPORT CLK 2,1.0,51164.0
April-17,2177.0,ACCOUNTANT 4-18,1.0,100970.0
April-17,7560.0,ACCOUNTANT 2,1.0,65222.0
April-17,6955.0,BUYER 2,1.0,60894.0
April-17,4069.0,ACCOUNTANT 2,1.0,72726.0
April-17,2659.0,DOC SERVS SPEC 2,1.0,55065.0
April 2017,,,,
April-17,1012.0,ACCT. CLERK 2,1.0,54060.0
April 2017,,,,
April-17,7647.0,BUDGET/PROG EVAL MGR,1.0,108583.0
April-17,2243.0,PRINCIPAL ACCOUNTANT,1.0,100026.0
April 2017,,,,
April-17,2860.0,ACCT. TECH 2,1.0,59445.0
April-17,10251.0,IT SPEC 1-18,1.0,55394.0
April-17,1650.0,IT SPEC 4,1.0,91243.0
April 2017,,,,
April-17,3380.0,IT SPEC 2,1.0,79856.0
April-17,1461.0,IT SPEC 3,1.0,86224.0
April-17,2578.0,IT SPEC 3-18,1.0,87792.0
April-17,2102.0,IT SPEC 3,1.0,87792.0
April-17,3443.0,IT SPEC 2,1.0,78430.0
April 2017,,,,
April-17,10101.0,IT SPEC 3-18,1.0,65222.0
April-17,9715.0,IT TECH SERVS MGR,1.0,94365.0
April-17,3631.0,IT SPEC 3-18,1.0,82305.0
April-17,8045.0,IT SPEC 1-18,1.0,62507.0
April-17,3102.0,PRINCIPAL IT SPEC,1.0,104745.0
April-17,9955.0,IT SPEC 1-18,1.0,52104.0
April-17,1171.0,PRINCIPAL IT SPEC,1.0,105688.0
April-17,9149.0,IT SPEC 1-18,1.0,53912.0
April-17,2589.0,IT SPEC 3,1.0,87792.0
April-17,3802.0,PRINCIPAL IT SPEC,1.0,100026.0
April-17,1183.0,MGT INFO SPEC 3-18,1.0,84656.0
April-17,3596.0,IT APP DEV MGR,1.0,116182.0
April-17,1754.0,IT SPEC 2,1.0,79143.0
April-17,3907.0,IT SPEC 2,1.0,72726.0
April-17,3336.0,IT SPEC 2,1.0,68154.0
April-17,2158.0,IT SPEC 4,1.0,88661.0
April-17,2684.0,IT SPEC 3,1.0,85440.0
April-17,2588.0,IT DIRECTOR,1.0,130710.0
April-17,1894.0,IT SPEC 3,1.0,83088.0
April-17,3172.0,IT SPEC 3,1.0,83088.0
April-17,1885.0,IT SPEC 4,1.0,91243.0
April-17,2919.0,IT SPEC 2,1.0,75578.0
April-17,1818.0,IT SPEC 2,1.0,73439.0
April-17,7985.0,IT SPEC 1-18,1.0,52104.0
April-17,2418.0,SENIOR CTR DIR,1.0,96408.0
April-17,2489.0,CUSTODIAL WORKER 2,1.0,52809.0
April-17,6435.0,S.C. VOLUNTEER COORD,1.0,50979.0
April-17,7791.0,SR CTR PROG COORD,1.0,55394.0
April-17,3936.0,PROGRAM ASST 2,1.0,57565.0
April-17,2432.0,PROGRAM ASST 1,1.0,54134.0
April-17,7581.0,HRA 2-18,1.0,71300.0
April-17,3210.0,EE & LABOR MGR,1.0,111841.0
April-17,3445.0,HRA 3,1.0,79953.0
April-17,1186.0,HRA 3,1.0,80737.0
April-17,3919.0,EAP PROG ADMIN,1.0,91243.0
April-17,1718.0,ORGAN DEV/TRAIN OFF,1.0,93825.0
April-17,1565.0,HRA 3,1.0,80737.0
April-17,3403.0,HR SERVS MGR,1.0,111841.0
April-17,3498.0,ADMIN ASST,1.0,62213.0
April-17,2136.0,SAFETY COORDINATOR,1.0,76333.0
April-17,1220.0,PROGRAM ASST 1,1.0,49716.0
April-17,3339.0,OCCUP/ACCOM SPEC 3,1.0,87008.0
April-17,1805.0,HUMAN RESOURCE DIR,1.0,133243.0
April-17,3285.0,ORGAN DEV/TRAIN OFF,1.0,88661.0
April-17,1657.0,HRA 1-18,1.0,61888.0
April-17,2514.0,LABOR RELATIONS SPEC,1.0,91243.0
April-17,2164.0,JUD SUPPORT CLK 1,1.0,53095.0
April-17,2438.0,MUNI JUDGE,1.0,103115.0
April-17,1732.0,JUD SUPPORT CLK 2,1.0,56077.0
April-17,1988.0,JUD SUPPORT CLK 3,1.0,59740.0
April-17,4151.0,EO INV/CONC 1,1.0,60085.0
April-17,1398.0,HEARING EXAM-EOC,1.0,146239.0
April-17,7464.0,ADMIN CLK 1,1.0,39816.0
April-17,9067.0,EQ OPPT MGR,1.0,82129.0
April-17,3316.0,EO INV/CONC 1,1.0,55394.0
April 2017,,,,
April-17,1155.0,PROGRAM ASST 1,1.0,56587.0
April-17,9116.0,PROGRAM ASST 2,1.0,48268.0
April-17,3352.0,HSG MOD GRTS MGR,1.0,79856.0
April-17,2151.0,HSG MAINT WKR,1.0,56733.0
April-17,6255.0,HSG MAINT WKR,1.0,51169.0
April-17,3640.0,SECTION 8 INSPECTOR,1.0,54239.0
April-17,7168.0,HSG MAINT WKR,1.0,49807.0
April-17,1771.0,PAINTER,1.0,57359.0
April-17,2127.0,HSG SITE MGR,1.0,79143.0
April-17,3238.0,PROGRAM ASST 2,1.0,57270.0
April-17,2970.0,HSG MAINT WKR,1.0,58309.0
April-17,7537.0,MAINT MECH 2,1.0,56800.0
April-17,3292.0,HSG SITE MGR,1.0,72726.0
April-17,1403.0,HSG ASST CLK 2,1.0,58088.0
April-17,1413.0,HSG OPER ANALYST,1.0,76291.0
April-17,1795.0,HSG SITE MGR,1.0,77717.0
April-17,7345.0,ACCT TECH 2,1.0,50979.0
April-17,1244.0,HSG ASST CLERK,1.0,55057.0
April-17,8182.0,HSG MAINT WKR,1.0,48449.0
April-17,2120.0,HSG OPER PROG MGR,1.0,100026.0
April-17,2157.0,PROGRAM ASST 1,1.0,55567.0
April 2017,,,,
April-17,4014.0,MAINT MECH 1-16,1.0,68202.0
April-17,1827.0,PROGRAM ASST 2,0.8,43121.0
April 2017,,,,
April-17,2595.0,HSG MAINT WKR,1.0,54107.0
April-17,2316.0,ADMIN CLK 1,1.0,53095.0
April-17,9028.0,PROGRAM ASST 2,1.0,48149.0
April-17,1522.0,INFORMATION CLERK,1.0,46912.0
April-17,3984.0,INFORMATION CLERK,0.75,35169.0
April-17,3872.0,SSMO 1-15,1.0,51284.0
April-17,3898.0,ENGINEER 3-18,1.0,80737.0
April-17,9210.0,ENGINEER 3-18,1.0,78385.0
April-17,7808.0,PROGRAM ASST 1-17,1.0,46425.0
April-17,3361.0,ENGINEER 3,1.0,87008.0
April-17,3266.0,PUB WKS GEN FORE-18,1.0,74288.0
April-17,2034.0,CONSTRUCT INSP 1,1.0,62691.0
April 2017,,,,
April-17,8550.0,SSMW 1-15,1.0,38238.0
April-17,1550.0,PRINCIPAL ENGR 2,1.0,115144.0
April-17,3295.0,ENGINEER 4,1.0,91243.0
April-17,1646.0,SSMO 1-15,1.0,51157.0
April-17,1577.0,ENGR PROG SPEC 2,1.0,79574.0
April-17,2178.0,HYDROGEO 3,0.6,48442.0
April-17,3777.0,COMP MAP/GIS COORD,1.0,99940.0
April-17,2442.0,S/D MAINT TECH 1,1.0,61069.0
April-17,3262.0,PRINCIPAL ENGR 1,1.0,110752.0
April-17,3051.0,PRINCIPAL ENGR 1,1.0,109763.0
April-17,1695.0,ENGR OPER LDWKR-15,1.0,68910.0
April-17,1608.0,CONSTRUCT INSP 2,1.0,71897.0
April-17,1364.0,S/D MAINT TECH 1,1.0,61069.0
April-17,7629.0,STR SEWER MACH OPR 3,1.0,54526.0
April-17,2910.0,SSMO 1-15,1.0,51157.0
April-17,3971.0,PW DEV MGR 2,1.0,92104.0
April-17,1438.0,PRINCIPAL ENGR 1,1.0,100863.0
April-17,2048.0,ENGINEER 4,1.0,91243.0
April-17,5900.0,ENGINEER 1-18,1.0,60085.0
April-17,1368.0,CIVIL TECH 2,1.0,60904.0
April-17,2067.0,ACCOUNTANT 3,1.0,79953.0
April-17,1725.0,PROGRAM ASST 1,1.0,57097.0
April-17,2619.0,ENGINEER 3,1.0,87792.0
April-17,3392.0,SIDEWALK PROG SUPERV,1.0,74865.0
April-17,9185.0,PROGRAM ASST 1,1.0,46665.0
April-17,2216.0,SSMO 1-15,1.0,57798.0
April-17,4697.0,ENGR OPER MAINT WKR,1.0,52372.0
April-17,3250.0,SURVEYOR 2,1.0,72726.0
April-17,7716.0,SSMW 1-15,1.0,42452.0
April-17,3073.0,ENGR OPER CLK,1.0,54526.0
April-17,1961.0,SSMO 1-15,1.0,57798.0
April-17,2734.0,ENGR FINANCIAL MGR,1.0,100970.0
April-17,7346.0,CONSTRUCT INSP 1-15,1.0,52364.0
April-17,5741.0,CONSTRUCT INSP 1,1.0,53804.0
April-17,3807.0,ENGR OPER LDWKR-15,1.0,61862.0
April-17,2621.0,MAINT MECH 1,1.0,62859.0
April-17,4332.0,PUB WKS GEN FORE,1.0,65222.0
April-17,2653.0,ENGINEER 4,1.0,95547.0
April-17,2261.0,STR SEWER MACH OPR 1,1.0,55130.0
April-17,2429.0,ENGR CITY,1.0,146585.0
April-17,3717.0,SURVEYOR 2,1.0,71300.0
April-17,1414.0,PRINCIPAL ENGR 2,1.0,108921.0
April-17,3661.0,S/D MAINT TECH 2,1.0,60028.0
April-17,3774.0,PUB WKS GEN FORE-18,1.0,74970.0
April 2017,,,,
April-17,2010.0,ENGR PROG SPEC 1,1.0,60894.0
April 2017,,,,
April-17,2606.0,PROGRAM ASST 2-20,1.0,53902.0
April-17,1694.0,STR SEWER MACH OPR 3,1.0,60524.0
April-17,1862.0,ENGR FIELD AIDE,1.0,60524.0
April-17,2938.0,STR SEWER MACH OPR 3,1.0,56162.0
April-17,1006.0,ENGR OPR MGR,1.0,109763.0
April-17,1200.0,PROGRAM ASST 2,1.0,57042.0
April-17,3219.0,S/D MAINT TECH 1,1.0,59433.0
April-17,1744.0,STR SEWER MACH OPR 1,1.0,53640.0
April-17,1993.0,CONSTRUCT INSP 2,1.0,69971.0
April-17,3189.0,S/D MAINT TECH 1,1.0,59979.0
April-17,1089.0,SEWER REPAIR LDWKR-15,1.0,65648.0
April-17,3573.0,S/D MAINT TECH 1,1.0,60524.0
April-17,3156.0,STR SEWER MACH OPR 1,1.0,55130.0
April-17,2994.0,ASST CITY ENGINEER,1.0,121613.0
April-17,3394.0,SURVEYOR 2,1.0,77717.0
April-17,1923.0,IT SPEC 3,1.0,82305.0
April-17,1822.0,CONSTRUCT INSP 2,1.0,66120.0
April-17,3450.0,SURVEYOR 1,1.0,71609.0
April-17,1388.0,STR SEWER MACH OPR 1,1.0,55130.0
April-17,3953.0,PROGRAM ASST 3,1.0,59202.0
April-17,3216.0,CONSTRUCT INSP 2,1.0,71897.0
April-17,3724.0,CONSTRUCT INSP 2,1.0,70613.0
April-17,2643.0,FLEET TECH,1.0,68295.0
April-17,2819.0,AUTO MAINT WKR 2,1.0,55387.0
April-17,3253.0,FLEET TECH,1.0,65218.0
April 2017,,,,
April-17,2425.0,OPERATIONS CLERK,1.0,59435.0
April-17,2524.0,FLEET TECH,1.0,58329.0
April 2017,,,,
April-17,1789.0,WELDER,1.0,66239.0
April-17,1343.0,ADMIN ASST,1.0,62213.0
April-17,1983.0,FLEET TECH,1.0,56630.0
April-17,3490.0,FLEET TECH,1.0,68910.0
April-17,2441.0,PUB WKS GEN FORE,1.0,75651.0
April-17,2654.0,FLEET PARTS TECH,1.0,57312.0
April-17,10246.0,FLEET TECH,1.0,49011.0
April-17,3368.0,AUTO MAINT WKR 3,1.0,61069.0
