Employee #,Filled Position Description,Filled FTE Percent,Current Salary
6275,ASST CITY ASSES,1," 	90,036 "
1815,PROPERTY APPRAISER 4,1," 	85,519 "
4143,PROPERTY APPRAISER 2,1," 	75,624 "
7879,ADMIN CLK 1,1," 	45,543 "
9231,PROPERTY APPRAISER 1-16,1," 	55,041 "
1523,PROPERTY APPRAISER 2,1," 	63,129 "
3258,CERT MUNI CLK,1," 	54,038 "
3025,ADMIN CLK 1,1," 	54,060 "
2832,PROPERTY APPRAISER 2,1," 	72,217 "
7161,MUNI CLK 2-20,1," 	49,623 "
2222,ASSESS TECH 2,1," 	55,683 "
3433,PROPERTY APPRAISER 2,1," 	74,261 "
1931,ASSESS TECH 2-16,1," 	52,704 "
1553,ADMIN CLK 1,1," 	52,612 "
2825,ACCT CLERK 3,1," 	57,097 "
1780,PROP LISTER 3,1," 	57,049 "
3930,MEDIA TEAM LDWKR,1," 	68,811 "
5018,PROGRAM ASST 2,1," 	49,623 "
2144,DOC SERVS SPEC 2,1," 	55,065 "
1247,ADMIN SUPPORT CLK 2,1," 	54,060 "
VACANT,VACANT,VACANT,VACANT
2824,DOC SERVS LDWKR,1," 	60,698 "
9186,BUYER 2,1," 	58,908 "
2142,ACCT SERVICES MGR,1," 	117,270 "
1952,ACCT CLERK 3,1," 	55,567 "
3333,ADMIN ANAL 4,1," 	91,243 "
9151,PROGRAM ASST 1,1," 	46,665 "
3407,ACCT CLERK 3,1," 	55,567 "
2693,FINANCE DIR,1," 	159,276 "
2854,ACCT TECH 3,1," 	67,179 "
2352,ACCT TECH 3,1," 	60,853 "
VACANT,VACANT,VACANT,VACANT
8181,ADMIN ANAL 1-18,1," 	62,507 "
2847,ACCOUNTANT 4-18,1," 	103,801 "
2288,RISK MANAGER,1," 	103,830 "
3406,ADMIN SUPPORT CLK 2,1," 	51,164 "
2177,ACCOUNTANT 4-18,1," 	100,970 "
7560,ACCOUNTANT 2,1," 	65,222 "
6955,BUYER 2,1," 	63,129 "
4069,ACCOUNTANT 2,1," 	72,726 "
2659,DOC SERVS SPEC 2,1," 	55,065 "
VACANT,VACANT,VACANT,VACANT
1012,ACCT CLERK 2,1," 	54,060 "
10445,ACCOUNTANT 1-18,1," 	55,394 "
7647,BUDGET/PROG EVAL MGR,1," 	108,583 "
2243,PRINCIPAL ACCOUNTANT,1," 	100,026 "
10491,ADMIN ANAL 2-18,1," 	60,085 "
2860,ACCT TECH 2,1," 	59,445 "
10251,IT SPEC 1-18,1," 	55,394 "
1650,IT SPEC 4,1," 	91,243 "
VACANT,VACANT,VACANT,VACANT
3380,IT SPEC 2,1," 	79,856 "
1461,IT SPEC 3,1," 	86,224 "
2578,IT SPEC 3-18,1," 	87,792 "
2102,IT SPEC 3,1," 	87,792 "
3443,IT SPEC 2,1," 	78,430 "
VACANT,VACANT,VACANT,VACANT
10101,IT SPEC 3-18,1," 	68,154 "
9715,IT TECH SERVS MGR,1," 	98,886 "
3631,IT SPEC 3-18,1," 	82,305 "
8045,IT SPEC 1-18,1," 	62,507 "
3102,PRINCIPAL IT SPEC,1," 	104,745 "
9955,IT SPEC 1-18,1," 	52,104 "
1171,PRINCIPAL IT SPEC,1," 	105,688 "
9149,IT SPEC 1-18,1," 	53,912 "
2589,IT SPEC 3,1," 	87,792 "
3802,PRINCIPAL IT SPEC,1," 	100,026 "
1183,MGT INFO SPEC 3-18,1," 	84,656 "
3596,IT APP DEV MGR,1," 	116,182 "
1754,IT SPEC 2,1," 	79,143 "
3907,IT SPEC 2,1," 	72,726 "
3336,IT SPEC 2,1," 	71,300 "
2158,IT SPEC 4,1," 	88,661 "
2684,IT SPEC 3,1," 	85,440 "
2588,IT DIRECTOR,1," 	130,710 "
1894,IT SPEC 3,1," 	83,088 "
3172,IT SPEC 3,1," 	83,088 "
1885,IT SPEC 4,1," 	91,243 "
2919,IT SPEC 2,1," 	75,578 "
1818,IT SPEC 2,1," 	73,439 "
7985,IT SPEC 1-18,1," 	52,104 "
2418,SENIOR CTR DIR,1," 	96,408 "
2489,CUSTODIAL WKR 2,1," 	52,809 "
6435,S.C. VOLUNTEER COORD,1," 	50,979 "
7791,SR CTR PROG COORD,1," 	55,394 "
3936,PROGRAM ASST 2,1," 	57,565 "
2432,PROGRAM ASST 1,1," 	54,134 "
7581,HRA 2-18,1," 	71,300 "
3210,EE & LABOR MGR,1," 	111,841 "
3445,HRA 3,1," 	79,953 "
